ts,thrust_in_g
27.68377375602722,227
27.77607226371765,216
27.86851739883423,210
27.961058616638184,207
28.05355453491211,202
28.14587092399597,196
28.23834800720215,190
28.33082604408264,183
28.42333197593689,172
28.515634059906006,162
28.608137845993042,154
28.700624465942383,149
28.79307222366333,144
28.885445833206177,140
28.977921962738037,135
29.07040572166443,131
29.162890672683716,126
29.255209922790527,118
29.34771728515625,111
29.440195083618164,104
29.53254199028015,98
29.62500262260437,93
29.71733283996582,88
29.809858798980713,82
29.90232229232788,77
29.99479603767395,71
30.087310075759888,69
30.1797833442688,67
30.272090196609497,64
30.364595890045166,61
30.45707678794861,59
30.549564123153687,58
30.641892433166504,56
30.734379053115845,57
30.82690453529358,57
30.919356107711792,56
31.011672496795654,55
31.10413432121277,54
31.196626663208008,52
31.289108514785767,51
31.381441116333008,50
31.47391438484192,50
31.56641936302185,51
31.658894300460815,50
31.75139832496643,50
31.843902826309204,49
31.936357736587524,48
32.0289261341095,48
32.12116837501526,47
32.21366786956787,47
32.30615162849426,46
32.398653507232666,45
32.49113178253174,44
32.58346438407898,44
32.675963401794434,47
32.768452882766724,48
32.86094927787781,45
32.9532573223114,45
33.04575967788696,46
33.1382360458374,44
33.230717420578,44
33.32304000854492,45
33.41552996635437,47
33.50802397727966,45
33.60032820701599,44
33.69283437728882,44
33.78530955314636,43
33.877838134765625,45
33.970306158065796,45
34.06264305114746,44
34.15510845184326,45
34.247607946395874,44
34.340086221694946,40
34.4325647354126,41
34.52488946914673,42
34.6173951625824,42
34.70987606048584,43
34.80235934257507,43
34.89468860626221,42
34.987162590026855,42
35.07968211174011,43
35.17215061187744,44
35.26465392112732,44
35.357131242752075,43
35.449461698532104,43
35.54193425178528,43
35.63444375991821,42
35.72690987586975,42
35.81942343711853,44
35.91191101074219,44
36.00441098213196,44
36.096731424331665,43
36.189218044281006,43
36.28169584274292,44
36.374173402786255,43
36.466501235961914,42
36.55900192260742,44
36.65148162841797,46
36.74396634101868,44
36.83628702163696,42
36.92876863479614,42
37.02127742767334,44
37.113762617111206,45
37.206132650375366,45
37.29858350753784,45
37.39111137390137,45
37.48339796066284,45
37.575910568237305,45
37.66835403442383,46
37.76085638999939,45
37.85318636894226,45
37.94566202163696,47
38.03817868232727,46
38.13065195083618,45
38.22296190261841,47
38.315454959869385,47
38.40792965888977,46
38.50042414665222,48
38.59273958206177,49
38.68524527549744,47
38.777724742889404,48
38.870245695114136,49
38.962531089782715,49
39.0550491809845,48
39.14751482009888,49
39.2400164604187,48
39.332324743270874,49
39.42482352256775,48
39.5173134803772,48
39.609633445739746,50
39.70211362838745,50
39.79463052749634,49
39.88709616661072,48
39.97942066192627,51
40.07192373275757,51
40.16441106796265,51
40.2568883895874,51
40.34927725791931,51
40.441696882247925,52
40.53422927856445,53
40.62676692008972,53
40.71902918815613,51
40.81153988838196,51
40.90403127670288,54
40.99651002883911,54
41.08885049819946,54
41.18132972717285,55
41.2738254070282,54
41.36634850502014,54
41.458781719207764,55
41.55110764503479,57
41.643584966659546,56
41.73609757423401,57
41.82857322692871,56
41.921077251434326,56
42.01356887817383,56
42.10588812828064,54
42.1983916759491,56
42.29086780548096,56
42.38338875770569,57
42.47585082054138,58
42.568148136138916,59
42.66065502166748,59
42.75313353538513,60
42.84563684463501,59
42.93794226646423,60
43.03044390678406,60
43.12292671203613,59
43.21542692184448,57
43.30773091316223,58
43.4002411365509,61
43.49271321296692,62
43.58515167236328,59
43.677485942840576,60
43.76998686790466,60
43.86247801780701,61
43.95494222640991,63
44.04728579521179,62
44.13978314399719,61
44.23228049278259,60
44.32473182678223,60
44.41706132888794,61
44.50954246520996,61
44.60205817222595,62
44.69452881813049,61
44.78684949874878,62
44.87933349609375,63
44.971832275390625,64
45.06429672241211,65
45.156660318374634,63
45.24912428855896,64
45.34162998199463,63
45.434109687805176,61
45.52649521827698,63
45.618916749954224,64
45.711419343948364,66
45.80389595031738,64
45.896225452423096,63
45.98870372772217,63
46.08122444152832,64
46.17368793487549,65
46.265987396240234,64
46.35852265357971,66
46.45100545883179,66
46.543522357940674,66
46.635977029800415,65
46.728458404541016,67
46.820788860321045,67
46.9132878780365,65
47.005749464035034,64
47.09827136993408,65
47.19057846069336,67
47.28306007385254,68
47.37556505203247,67
47.468045234680176,67
47.56038045883179,66
47.65285062789917,66
47.745328426361084,64
47.837828636169434,63
47.9301323890686,65
48.02264451980591,67
48.11513042449951,66
48.207624197006226,67
48.29992938041687,65
48.392433643341064,65
48.4849112033844,66
48.5774130821228,67
48.66972255706787,66
48.76225471496582,66
48.85472083091736,67
48.947030782699585,68
49.03957486152649,69
49.13201713562012,67
49.22449612617493,67
49.3170371055603,68
49.4095025062561,68
49.501981019973755,68
49.5942816734314,68
49.68680381774902,69
49.77926278114319,69
49.87177610397339,69
49.964072942733765,69
50.05659317970276,68
50.14905858039856,69
50.24153280258179,70
50.33386206626892,68
50.42638564109802,69
50.51884961128235,70
50.61121082305908,70
50.7037467956543,71
50.796202182769775,70
50.88867425918579,69
50.98102378845215,69
51.07350444793701,69
51.165969371795654,69
51.25846552848816,70
51.350807428359985,71
51.443286180496216,69
51.535786151885986,69
51.628247022628784,68
51.72056460380554,69
51.813063859939575,70
51.905534982681274,71
51.99787449836731,71
52.0903697013855,71
52.182857275009155,71
52.27534055709839,71
52.36766743659973,72
52.460142612457275,71
52.552650928497314,71
52.64512896537781,70
52.73763084411621,70
52.829936265945435,70
52.9224419593811,71
53.01492381095886,71
53.107439279556274,72
53.199899435043335,72
53.2922306060791,71
53.38471031188965,71
53.477230072021484,70
53.56969475746155,70
53.66217374801636,72
53.75467014312744,72
53.847147703170776,72
53.939661502838135,73
54.03202700614929,72
54.124483585357666,71
54.2169554233551,71
54.309447288513184,73
54.40174913406372,73
54.49425482749939,73
54.58673882484436,72
54.679248094558716,73
54.77154231071472,72
54.86404538154602,73
54.956538438797,72
55.049054861068726,73
55.14134907722473,73
55.23384714126587,72
55.326319217681885,71
55.4186532497406,71
55.51115298271179,70
55.603628158569336,70
55.6960768699646,72
55.788414001464844,72
55.880940675735474,72
55.97339057922363,72
56.065882444381714,70
56.15836501121521,70
56.25066637992859,72
56.343167543411255,72
56.43566346168518,73
56.52791953086853,71
56.620461225509644,70
56.71296238899231,72
56.805442333221436,71
56.89776539802551,70
56.99024558067322,71
57.08277153968811,72
57.175233125686646,73
57.26756548881531,72
57.3600378036499,73
57.4525260925293,72
57.5450222492218,71
57.637351274490356,71
57.72983145713806,71
57.82231330871582,71
57.91482138633728,70
58.00711727142334,72
58.09963774681091,71
58.192100524902344,71
58.28442692756653,70
58.37690854072571,69
58.46941637992859,71
58.561890840530396,71
58.65425992012024,70
58.74673867225647,71
58.83924078941345,71
58.93172097206116,72
59.02409553527832,72
59.11654353141785,72
59.20903730392456,72
59.301331520080566,72
59.393842935562134,71
59.48616814613342,70
59.578651428222656,70
59.67111611366272,70
59.76359248161316,71
59.85591793060303,71
59.948397159576416,71
